Date,Brand,Item Category,Item Group,Sub Item Group,Thickness,Size,Item Name,AX Code,QTY/Box,QTY/M2,QTY/Sh,Price/M2,Price/Sh,Price/Box,SO. No.,Invoice No.,Customer Name,Value Without Vat,Vat 14%,Total Value,Shipment No.,Shipment Code,Ex. Rate,Price/M2 +14%,Current Stock,Cost Per M2,Total Cost,Margin,Cost per Box,Value per Box,Box + VAT,Customer Segment,Lead Time,Arrival Date,Shipment Lead Time
25-Jun-23,Fuji,Plate,Solvent,Analog,3.94,1067 x 1524 mm,Flexo Solvent Analog Plate 3.94 / 1067 x 1524 mm,FC2003735,3,29.3,18,"EGP 2,807 ","EGP 4,565 ","EGP 27,387 ",FLX.2023.SO.000012,FLX.2023.M.INV.00011,flx home,"EGP 82,161 ","EGP 11,503 ","EGP 93,664 ",2023/147,2023-P01,39.44,"EGP 3,200 ",0,"EGP 1,995 ","EGP 58,381 ",28.90%,"EGP 19,460 ","EGP 27,387 ","EGP 31,221 ",Repro House,0,15-May-23,41
11-Jul-23,Fuji,Plate,Solvent,Analog,3.94,1067 x 1524 mm,Flexo Solvent Analog Plate 3.94 / 1067 x 1524 mm,FC2003735,3,29.3,18,"EGP 2,895 ","EGP 4,707 ","EGP 28,243 ",FLX.2023.SO.000014,FLX.2023.M.INV.00012,flx importing,"EGP 84,729 ","EGP 11,862 ","EGP 96,591 ",2023/147,2023-P01,39.44,"EGP 3,300 ",0,"EGP 1,995 ","EGP 58,381 ",31.10%,"EGP 19,460 ","EGP 28,243 ","EGP 32,197 ",Repro House,0,15-May-23,57
18-Jul-23,Fuji,Plate,Solvent,Analog,3.94,1067 x 1524 mm,Flexo Solvent Analog Plate 3.94 / 1067 x 1524 mm,FC2003735,3,29.3,18,"EGP 2,895 ","EGP 4,707 ","EGP 28,243 ",FLX.2023.SO.000015,FLX.2023.M.INV.00013,flx importing,"EGP 84,729 ","EGP 11,862 ","EGP 96,591 ",2023/147,2023-P01,39.44,"EGP 3,300 ",0,"EGP 1,995 ","EGP 58,381 ",31.10%,"EGP 19,460 ","EGP 28,243 ","EGP 32,197 ",Repro House,0,15-May-23,64
25-Jul-23,Fuji,Plate,Solvent,Analog,3.94,1067 x 1524 mm,Flexo Solvent Analog Plate 3.94 / 1067 x 1524 mm,FC2003735,2,19.5,12,"EGP 2,895 ","EGP 4,707 ","EGP 28,243 ",FLX.2023.SO.000016,FLX.2023.M.INV.00014,flx importing,"EGP 56,486 ","EGP 7,908 ","EGP 64,394 ",2023/147,2023-P01,39.44,"EGP 3,300 ",0,"EGP 1,995 ","EGP 38,920 ",31.10%,"EGP 19,460 ","EGP 28,243 ","EGP 32,197 ",Repro House,0,15-May-23,71
27-Jul-23,Fuji,Plate,Solvent,Analog,3.94,1067 x 1524 mm,Flexo Solvent Analog Plate 3.94 / 1067 x 1524 mm,FC2003735,2,19.5,12,"EGP 2,807 ","EGP 4,565 ","EGP 27,387 ",FLX.2023.SO.000017,FLX.2023.M.INV.00015,flx home,"EGP 54,774 ","EGP 7,668 ","EGP 62,443 ",2023/147,2023-P01,39.44,"EGP 3,200 ",0,"EGP 1,995 ","EGP 38,920 ",28.90%,"EGP 19,460 ","EGP 27,387 ","EGP 31,221 ",Repro House,0,15-May-23,73
27-Jul-23,Fuji,Plate,Solvent,Analog,3.94,1067 x 1524 mm,Flexo Solvent Analog Plate 3.94 / 1067 x 1524 mm,FC2003735,1,9.8,6,"EGP 2,807 ","EGP 4,565 ","EGP 27,387 ",FLX.2023.SO.000017,FLX.2023.M.INV.00015,flx home,"EGP 27,387 ","EGP 3,834 ","EGP 31,221 ",2023/144,2023-P01,39.9,"EGP 3,200 ",0,"EGP 2,018 ","EGP 19,691 ",28.10%,"EGP 19,691 ","EGP 27,387 ","EGP 31,221 ",Repro House,0,15-May-23,73
7-Aug-23,Fuji,Plate,Solvent,Analog,2.84,1067 x 1524 mm,Flexo Solvent Analog Plate 2.84 / 1067 x 1524 mm,FC2007777,2,26,16,"EGP 2,719 ","EGP 4,422 ","EGP 35,375 ",FLX.2023.SO.000018,FLX.2023.M.INV.00016,alshrouk,"EGP 70,750 ","EGP 9,905 ","EGP 80,655 ",2023/147,2023-P01,39.44,"EGP 3,100 ",0,"EGP 1,995 ","EGP 51,894 ",26.70%,"EGP 25,947 ","EGP 35,375 ","EGP 40,327 ",Repro House,0,15-May-23,84
10-Aug-23,Fuji,Plate,Solvent,Analog,2.84,1067 x 1524 mm,Flexo Solvent Analog Plate 2.84 / 1067 x 1524 mm,FC2007777,1,13,8,"EGP 2,719 ","EGP 4,422 ","EGP 35,375 ",FLX.2023.SO.000019,FLX.2023.M.INV.00017,essam,"EGP 35,375 ","EGP 4,952 ","EGP 40,327 ",2023/147,2023-P01,39.44,"EGP 3,100 ",0,"EGP 1,995 ","EGP 25,947 ",26.70%,"EGP 25,947 ","EGP 35,375 ","EGP 40,327 ",Repro House,5,15-May-23,87
15-Aug-23,Fuji,Plate,Solvent,Analog,3.94,1067 x 1524 mm,Flexo Solvent Analog Plate 3.94 / 1067 x 1524 mm,FC2003735,1,9.8,6,"EGP 2,807 ","EGP 4,565 ","EGP 27,387 ",FLX.2023.SO.000023,FLX.2023.M.INV.00020,essam,"EGP 27,387 ","EGP 3,834 ","EGP 31,221 ",2023/144,2023-P01,39.9,"EGP 3,200 ",0,"EGP 2,018 ","EGP 19,691 ",28.10%,"EGP 19,691 ","EGP 27,387 ","EGP 31,221 ",Repro House,0,15-May-23,92
10-Aug-23,Fuji,Plate,Solvent,Analog,3.94,1067 x 1524 mm,Flexo Solvent Analog Plate 3.94 / 1067 x 1524 mm,FC2003735,1,9.8,6,"EGP 2,807 ","EGP 4,565 ","EGP 27,387 ",FLX.2023.SO.000020,FLX.2023.M.INV.00018,Hammoda,"EGP 27,387 ","EGP 3,834 ","EGP 31,221 ",2023/144,2023-P01,39.9,"EGP 3,200 ",0,"EGP 2,018 ","EGP 19,691 ",28.10%,"EGP 19,691 ","EGP 27,387 ","EGP 31,221 ",Repro House,0,15-May-23,87
